City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Sabha,LY,72.82,few clouds,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
486,Flin Flon,CA,69.64,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
489,Gambo,CF,68.56,moderate rain,4.6482,22.2633,
490,Chicama,PE,59.54,scattered clouds,-7.8447,-79.1469,Balihai Bungalows
491,Maceio,BR,78.24,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
492,Waycross,US,79.05,clear sky,31.2136,-82.354,Super 8 by Wyndham Waycross GA
493,Mineros,BO,67.91,clear sky,-17.1167,-63.2333,Colpacaranda Eco Resort
494,High Prairie,CA,51.96,overcast clouds,55.4334,-116.4858,Royal Star Motor Inn
495,Russell,US,74.8,clear sky,32.3502,-85.1999,Macs
497,Brewster,US,58.19,clear sky,41.3973,-73.6171,Heidi's Inn
498,Padang,ID,73.45,overcast clouds,-0.9492,100.3543,Mercure Padang
500,Humen,CN,73.06,clear sky,22.819000000000003,113.6731,豪门大饭店
501,Shingu,JP,66.11,overcast clouds,33.7333,135.9833,Shingu UI Hotel
504,Flores,GT,72.97,overcast clouds,16.9226,-89.8994,Quinta Maya Hotel
505,Alice Springs,AU,78.35,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
507,Boueni,YT,75.18,clear sky,-12.9025,45.0761,The feet in water
508,Bosobolo,CD,69.01,overcast clouds,4.1833,19.9,
509,Havelock,US,67.98,scattered clouds,34.8791,-76.9013,Sherwood Motel
510,Arroyo,ES,61.59,scattered clouds,41.6096,-4.7969,Hotel El Jardín de la Abadía
511,Bongandanga,CD,69.46,light rain,1.5,21.05,
513,Resistencia,AR,61.11,clear sky,-27.4606,-58.9839,Niyat Urban Hotel
515,Moron,AR,60.98,broken clouds,-34.6534,-58.6198,Hotel Morón
517,Estelle,US,78.01,clear sky,29.8458,-90.1067,Ohio
520,Novo Aripuana,BR,79.07,light rain,-5.1206,-60.3797,Hotel Ezequiel
524,Barabai,ID,73.89,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
525,Urupes,BR,72.73,overcast clouds,-21.2017,-49.29,Romera
526,Buchanan,LR,77.32,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
527,Tura,IN,70.72,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
529,Cedar City,US,70.77,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
534,Mucuri,BR,75.9,few clouds,-18.0864,-39.5508,La Bodeguita Pousada
535,Kropotkin,RU,52.38,clear sky,45.4375,40.5756,Hotel Europe Kropotkin
536,Hun,LY,72.52,clear sky,29.1268,15.9477,Alrwasi Hotel
538,Ketchikan,US,54.07,broken clouds,55.3422,-131.6461,Snow's Cove Lodge
540,Karoi,ZW,65.43,clear sky,-16.8099,29.6925,Chikangwe Guest houses
542,Hutchinson,US,73.35,overcast clouds,38.0608,-97.9298,Hampton Inn Hutchinson
545,Matara,LK,76.12,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
547,Marsa Matruh,EG,70.56,clear sky,31.3525,27.2453,Beau Site
