City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
279,Hithadhoo,MV,-0.6,73.0833,80.89,79,100,20.18,moderate rain
280,Ostersund,SE,63.1792,14.6357,46.85,87,75,10.36,broken clouds
281,Tungor,RU,53.3808,142.9564,47.01,91,100,12.82,overcast clouds
282,Soe,ID,-9.8607,124.284,79.11,52,100,2.64,overcast clouds
283,The Valley,AI,18.217,-63.0578,82.54,83,20,8.05,few clouds
284,Bambanglipuro,ID,-7.95,110.2833,78.94,83,95,6.64,overcast clouds
285,Shenzhen,CN,22.5455,114.0683,72.21,52,5,8.03,clear sky
286,Gornopravdinsk,RU,60.05,69.9,41.95,95,61,8.23,broken clouds
287,Ankang,CN,32.68,109.0172,50.0,74,1,0.67,clear sky
288,Gorontalo,ID,0.5412,123.0595,79.81,88,87,1.61,overcast clouds
289,Khor,RU,47.8861,134.9464,42.87,92,100,15.75,light rain
290,Chapais,CA,49.7834,-74.8492,38.98,90,100,8.7,overcast clouds
291,Fengrun,CN,39.8333,118.1167,49.06,30,0,2.28,clear sky
292,Esperance,AU,-33.8667,121.9,51.64,69,99,18.63,overcast clouds
293,Luderitz,NA,-26.6481,15.1594,58.03,92,25,3.0,scattered clouds
294,Turka,UA,49.1541,23.0297,49.15,84,7,5.79,clear sky
295,Somanda,TZ,-3.3667,33.95,70.56,42,56,8.59,broken clouds
296,Erzin,TR,36.9559,36.2,67.19,54,0,2.51,clear sky
297,Alofi,NU,-19.0595,-169.9187,80.49,78,75,11.5,broken clouds
298,Pedernales,DO,18.0384,-71.744,81.91,73,19,12.15,few clouds
299,General Roca,AR,-39.0333,-67.5833,65.44,14,66,3.8,broken clouds
300,Borogontsy,RU,62.6683,131.1683,27.61,87,87,6.24,overcast clouds
301,Ashtabula,US,41.7001,-80.7665,56.84,89,0,0.0,clear sky
302,Kidal,ML,18.4411,1.4078,84.36,16,30,11.72,scattered clouds
303,Bar Harbor,US,44.3876,-68.2039,46.02,87,100,1.99,overcast clouds
304,Waw,SS,7.7029,27.9953,70.43,94,79,3.71,light rain
305,Aksarka,RU,66.5606,67.7975,39.43,88,100,17.38,overcast clouds
306,Tarija,BO,-21.5355,-64.7296,58.91,26,0,8.05,clear sky
307,Inuvik,CA,68.3499,-133.7218,31.21,89,100,10.36,overcast clouds
308,Leningradskiy,RU,69.3833,178.4167,22.57,69,98,20.71,overcast clouds
309,Porvoo,FI,60.3923,25.6651,49.23,79,11,13.15,few clouds
310,Banda Aceh,ID,5.5577,95.3222,77.52,80,99,9.22,overcast clouds
311,Menongue,AO,-14.6585,17.691,67.26,24,63,7.14,broken clouds
312,Wanaka,NZ,-44.7,169.15,53.37,69,86,4.76,overcast clouds
313,Ulladulla,AU,-35.35,150.4667,59.54,62,57,6.49,broken clouds
314,Mayo,US,38.8876,-76.5119,62.55,81,0,3.44,clear sky
315,Ambulu,ID,-8.345,113.6058,77.65,88,100,1.05,overcast clouds
316,Saint-Joseph,RE,-21.3667,55.6167,66.58,80,21,8.81,few clouds
317,Iracoubo,GF,5.4802,-53.2011,80.04,88,22,10.29,few clouds
318,Abu Samrah,SY,35.3029,37.1841,66.49,64,0,3.65,clear sky
319,Yanam,IN,16.7333,82.2167,75.69,94,100,0.89,light rain
320,Corn Island,NI,12.1694,-83.0418,83.35,79,94,10.69,overcast clouds
321,Chaihe,CN,44.7667,129.7,39.69,53,42,12.8,scattered clouds
322,Pascagoula,US,30.3658,-88.5561,78.85,48,0,6.91,clear sky
323,Mumford,GH,5.2618,-0.759,76.62,88,29,6.82,light rain
324,Vanimo,PG,-2.6741,141.3028,83.73,72,89,6.17,overcast clouds
325,Barcelona,ES,41.3888,2.159,68.77,83,20,4.61,few clouds
326,Fortuna,US,40.5982,-124.1573,63.93,80,0,16.11,clear sky
327,Tiruppuvanam,IN,9.8333,78.2667,77.38,73,40,2.3,mist
328,Xiaoweizhai,CN,26.1903,107.5125,53.24,66,100,2.95,overcast clouds
329,Laguna De Perlas,NI,12.3429,-83.6712,80.69,87,99,6.24,overcast clouds
330,Mandiana,GN,10.6333,-8.6833,73.18,90,44,2.13,light rain
331,Urucara,BR,-2.5364,-57.76,74.1,85,98,1.86,overcast clouds
332,Zeliezovce,SK,48.0508,18.6542,54.79,59,93,3.62,overcast clouds
333,Sonthofen,DE,47.5167,10.2833,52.88,93,79,3.0,broken clouds
334,Kulhudhuffushi,MV,6.6221,73.07,81.32,79,93,19.53,overcast clouds
335,Tayoltita,MX,24.0833,-105.9333,75.34,63,4,3.38,clear sky
336,Ngunguru,NZ,-35.6167,174.5,62.8,66,78,8.28,broken clouds
337,Portland,US,45.5234,-122.6762,79.65,58,75,9.22,broken clouds
338,Sorong,ID,-0.8833,131.25,80.29,83,100,5.55,overcast clouds
339,Cururupu,BR,-1.8283,-44.8683,77.5,82,41,5.23,scattered clouds
340,Beringovskiy,RU,63.05,179.3167,32.99,51,25,8.16,scattered clouds
341,Matagami,CA,49.7502,-77.6328,42.91,61,0,8.05,clear sky
342,Baillif,GP,16.0202,-61.7463,78.3,79,93,11.03,overcast clouds
343,Goundam,ML,16.4145,-3.6708,91.99,14,31,7.25,scattered clouds
344,Barsovo,RU,61.1667,73.1667,39.33,94,72,10.87,broken clouds
345,Launceston,AU,-41.45,147.1667,59.61,64,40,6.91,scattered clouds
346,Ruteng,ID,-8.6136,120.4721,70.23,71,100,1.03,overcast clouds
347,Teguldet,RU,57.3064,88.1667,44.11,79,100,13.87,overcast clouds
348,Reconquista,AR,-29.15,-59.65,53.01,60,16,4.05,few clouds
349,Arraias,BR,-12.9288,-46.9437,78.42,25,20,4.97,few clouds
350,Trinidad,BO,-14.8333,-64.9,80.58,61,24,3.44,few clouds
351,Klaksvik,FO,62.2266,-6.589,40.12,68,98,20.94,overcast clouds
352,Harper,LR,4.375,-7.7169,76.17,90,70,5.01,light rain
353,Yulara,AU,-25.2406,130.9889,79.57,18,64,12.82,broken clouds
354,Viseu,PT,40.661,-7.9097,59.74,90,80,3.74,broken clouds
355,Mackay,AU,-21.15,149.2,72.68,74,81,17.94,broken clouds
356,Corinto,GR,37.9407,22.9573,63.9,70,47,2.37,scattered clouds
357,Tessalit,ML,20.1986,1.0114,84.02,17,44,12.37,scattered clouds
358,Iralaya,HN,15.0,-83.2333,80.49,86,100,7.43,overcast clouds
359,Maningrida,AU,-12.0667,134.2667,89.15,43,67,7.72,broken clouds
360,Kalmunai,LK,7.4167,81.8167,77.0,88,91,5.91,overcast clouds
361,Nome,US,64.5011,-165.4064,35.17,75,100,11.5,overcast clouds
362,Xiashi,CN,30.5363,120.6864,59.0,54,94,5.59,overcast clouds
363,Alexandria,EG,31.2156,29.9553,72.68,69,1,6.51,clear sky
364,Yeppoon,AU,-23.1333,150.7333,71.38,75,92,17.92,overcast clouds
365,Eureka,US,40.8021,-124.1637,88.75,74,17,4.61,few clouds
366,Zhangye,CN,38.9342,100.4517,46.47,19,54,2.57,broken clouds
367,Arlit,NE,18.7369,7.3853,84.88,16,0,9.15,clear sky
368,Debre Birhan,ET,9.6833,39.5333,46.63,79,36,2.89,scattered clouds
369,Swellendam,ZA,-34.0226,20.4417,73.38,35,99,4.38,overcast clouds
370,Morant Bay,JM,17.8815,-76.4093,83.82,84,75,9.13,broken clouds
371,Zeya,RU,53.75,127.2667,36.68,65,4,4.9,clear sky
372,Tyler,US,32.3513,-95.3011,84.25,44,0,6.91,clear sky
373,Antofagasta,CL,-23.65,-70.4,58.28,83,13,5.61,few clouds
374,Along,IN,28.1667,94.7667,70.07,100,100,0.92,overcast clouds
375,Bembereke,BJ,10.2283,2.6634,71.08,92,11,4.7,few clouds
376,Baturaja,ID,-4.1333,104.1667,74.79,93,100,1.19,overcast clouds
377,Paramonga,PE,-10.6667,-77.8333,62.19,86,21,10.02,few clouds
378,Ada,US,43.4166,-116.1262,76.35,23,0,11.5,clear sky
379,Kijang,KR,35.2442,129.2139,55.13,50,1,4.99,clear sky
380,Kuching,MY,1.55,110.3333,75.42,94,40,2.3,mist
381,Iberia,US,29.9502,-91.7507,80.67,32,0,8.05,clear sky
382,Mount Isa,AU,-20.7333,139.5,85.77,23,6,10.36,clear sky
383,Port Blair,IN,11.6667,92.75,75.24,94,75,2.3,mist
384,Pareora,NZ,-44.4871,171.2132,62.19,36,53,8.77,broken clouds
385,Tiarei,PF,-17.5333,-149.3333,80.62,79,21,12.66,light rain
386,Norman Wells,CA,65.282,-126.8329,32.04,100,100,33.38,light snow
387,Abashiri,JP,44.0213,144.2697,57.49,88,75,10.36,broken clouds
388,Chokurdakh,RU,70.6333,147.9167,19.44,81,98,17.18,overcast clouds
389,La Sierra,CO,2.1784,-76.7626,57.58,89,54,6.49,broken clouds
390,Ha Tinh,VN,18.3333,105.9,69.33,79,98,5.48,overcast clouds
391,Kirovo-Chepetsk,RU,58.5539,50.0399,37.49,90,9,1.9,clear sky
392,Sadovoye,RU,47.7764,44.5089,55.35,82,77,16.33,broken clouds
393,Mandera,KE,3.9366,41.867,77.32,61,40,18.32,scattered clouds
394,Irtyshskiy,RU,58.3333,68.1333,46.09,78,100,9.86,overcast clouds
395,Yumen,CN,40.2833,97.2,43.14,18,32,5.61,scattered clouds
396,Svetlogorsk,BY,52.6333,29.7333,39.43,85,13,2.71,few clouds
397,Kristianstad,SE,56.0313,14.1524,49.35,94,88,8.05,overcast clouds
398,Manggar,ID,-2.8833,108.2667,77.34,89,100,7.76,moderate rain
399,Khash,IR,28.2211,61.2158,56.01,13,0,2.26,clear sky
400,Makinsk,KZ,52.6292,70.4169,40.64,80,59,9.48,broken clouds
401,Naze,JP,28.3667,129.4833,70.72,56,100,15.1,overcast clouds
402,Lebu,CL,-37.6167,-73.65,48.63,81,1,17.92,clear sky
403,Saldanha,ZA,-33.0117,17.9442,59.05,93,100,14.43,overcast clouds
404,Caravelas,BR,-17.7125,-39.2481,75.47,78,45,8.16,scattered clouds
405,Yatou,CN,37.15,122.3833,54.66,60,2,6.44,clear sky
406,Brekstad,NO,63.687,9.6654,47.01,81,20,23.02,light rain
407,Paamiut,GL,61.994,-49.6678,37.63,87,100,13.06,light rain
